nr	data	score	sharpe_train	sharpe_val	return_train	return_val	max_dd_val	trades_val	opis
1	2026-03-17 15:51	-0.0304	0.207	-0.365	4.10%	-20.49%	-50.19%	96	Ichimoku+RSI+barometry 4H histereza=3
2	2026-03-17 15:55	0.0618	-0.172	-0.061	-1.32%	-7.91%	-43.53%	242	Ichimoku+RSI+MACD+ATR_stop 4H proporcjonalne
3	2026-03-17 16:03	0.2510	-0.071	0.316	7.00%	6.63%	-35.08%	200	EMA200 filtr + ATR 1.5x ciasniejszy stop
4	2026-03-17 16:03	0.2190	-0.150	0.211	-0.92%	3.20%	-33.98%	296	EMA200+ATR1.5+RSI40+volume_filter
5	2026-03-17 16:04	0.0892	0.344	0.509	46.21%	14.81%	-28.56%	149	EMA200+ATR1.5+long_only_no_shorts
6	2026-03-17 16:05	0.1965	-0.052	0.210	8.70%	6.58%	-37.64%	224	EMA100+ATR1.8+shorts_restored
7	2026-03-17 16:06	0.0446	-0.295	-0.115	-7.58%	-4.00%	-34.66%	321	EMA200+ATR1.5+Stoch_filter+RSI_cap75
8	2026-03-17 16:06	0.2591	-0.052	0.348	9.32%	8.17%	-34.84%	200	EMA200+ATR1.5+no_RSI_for_long
9	2026-03-17 16:07	0.2553	0.003	0.560	11.11%	20.09%	-32.68%	186	EMA200+ATR1.5+noRSI_long+RSI35_short
10	2026-03-17 16:08	0.1606	-0.278	0.409	-7.85%	9.58%	-36.13%	231	EMA20_50_200+MACD+ATR1.5_simplified
11	2026-03-17 16:09	0.2200	-0.051	0.277	1.59%	3.44%	-37.10%	180	Ichimoku+EMA200+ATR1.5+ADX25_trend_filter
12	2026-03-17 16:09	0.2385	-0.057	0.408	8.50%	10.38%	-34.14%	200	Ichimoku+EMA200+ATR1.5+partial_0.25
13	2026-03-17 16:10	0.0333	-0.242	0.020	-4.13%	-3.88%	-39.43%	207	Ichimoku_7_22_44+EMA200+ATR1.5
14	2026-03-17 16:11	0.2021	0.138	0.462	29.43%	12.48%	-28.84%	200	Ichimoku+EMA200+ATR1.5+half_short
15	2026-03-17 16:11	0.3086	-0.020	0.415	14.12%	11.33%	-32.59%	193	Ichimoku+EMA200+ATR1.7+full_short
16	2026-03-17 16:11	0.3206	-0.008	0.432	13.26%	12.52%	-32.91%	186	Ichimoku+EMA200+ATR1.9
